A=3671 B=8839 C=6722 X=745631793 Y=9278789349 Z=79403376288 M=3421
A=7167 B=9872 C=6538 X=996360821 Y=6961341990 Z=69426108608 M=1042
A=7977 B=5229 C=6923 X=270837508 Y=9830540727 Z=46023175961 M=8605
A=2506 B=9956 C=8484 X=206427260 Y=9445677354 Z=62367559007 M=5025
A=3434 B=9984 C=9703 X=866563645 Y=4322760132 Z=28088494224 M=1182
A=9661 B=8897 C=9402 X=496370769 Y=4153424301 Z=69968984784 M=5982
A=9718 B=6471 C=5164 X=638249808 Y=2392278499 Z=81601027849 M=1633
A=2132 B=3107 C=7631 X=823338871 Y=6079970151 Z=16021403247 M=8215
A=3756 B=9024 C=9237 X=776057566 Y=8067901471 Z=84809114050 M=9324
A=9776 B=7906 C=5494 X=843234458 Y=1158409973 Z=27392145860 M=5092
A=6466 B=9859 C=6559 X=668796870 Y=3653709343 Z=21793111732 M=9616
A=5367 B=7277 C=5143 X=445965365 Y=5407199299 Z=23774032102 M=1170
A=2001 B=4374 C=6298 X=460430963 Y=5593072490 Z=94178496328 M=1871
A=2147 B=4227 C=9985 X=877464567 Y=7724914949 Z=18660062708 M=9346
A=3698 B=6452 C=5108 X=942932464 Y=2483556827 Z=47045334058 M=4034
A=6829 B=6183 C=6475 X=243267021 Y=8066722335 Z=97636839058 M=8343
A=5792 B=9547 C=6532 X=105642238 Y=2725652982 Z=31067180622 M=8409
A=7784 B=5629 C=5271 X=379308811 Y=3715096884 Z=32065737313 M=4785
A=2591 B=4134 C=6999 X=717815803 Y=4758244515 Z=22649766951 M=6327
A=3780 B=8173 C=7176 X=665834893 Y=8214414137 Z=89327316425 M=9112
A=2326 B=9060 C=7599 X=872003054 Y=4504149220 Z=92345391958 M=6948
A=4305 B=8925 C=8625 X=908492811 Y=7177686646 Z=46881112231 M=8053
A=7717 B=3032 C=9648 X=949096644 Y=7169166878 Z=73737713547 M=5639
A=6464 B=6756 C=6912 X=944007032 Y=7296116574 Z=45978812988 M=7016
A=4685 B=3733 C=9777 X=623421441 Y=1619064993 Z=58329375742 M=7720
A=2123 B=5363 C=6258 X=856530078 Y=5713267668 Z=66616718010 M=8723
A=6973 B=3362 C=7937 X=171909743 Y=9582356843 Z=41610269555 M=6398
A=8343 B=9658 C=9463 X=765926987 Y=2604357459 Z=32765414618 M=1283
A=3346 B=6347 C=9346 X=420115819 Y=5254819126 Z=56108057610 M=5869
A=8657 B=4024 C=5413 X=270888687 Y=5121225888 Z=17520171901 M=6804
A=4020 B=8964 C=6374 X=743748060 Y=1271253827 Z=82431875494 M=3331
A=4322 B=6952 C=8596 X=890661304 Y=2185150758 Z=19836222734 M=4636
A=9779 B=4782 C=7271 X=616648766 Y=8180978934 Z=36042253314 M=8500
A=5813 B=7828 C=6336 X=512232747 Y=3216639610 Z=61737745890 M=6007
A=5696 B=6217 C=6262 X=793814067 Y=8636191665 Z=93465876834 M=2086
A=8707 B=6854 C=5421 X=239075135 Y=1504643702 Z=43296285441 M=5141
A=4973 B=7393 C=9157 X=112612859 Y=3895697075 Z=87776016396 M=4504
A=9887 B=5583 C=6847 X=523843965 Y=4580113450 Z=50807570084 M=3761
A=4756 B=8303 C=5220 X=335120467 Y=3069022885 Z=62149706517 M=3165
A=9383 B=3101 C=8248 X=471714198 Y=8223419057 Z=24004082413 M=8842
A=2563 B=7959 C=8709 X=609264743 Y=9806077705 Z=54295266260 M=5381
A=4523 B=3625 C=6984 X=206106204 Y=8236619871 Z=39285746358 M=9683
